"Category_ID","Category_Name","Category_Description"
"DE.AE","Anomalies et événements","Une activité anormale est détectée et l'impact potentiel des événements est compris."
"DE.CM","Surveillance continue de la sécurité","Le système d'information et les actifs sont surveillés pour identifier les événements de cybersécurité et vérifier l'efficacité des mesures de protection."
"DE.DP","Processus de détection","Les processus et procédures de détection sont maintenus et testés pour assurer la prise de conscience des événements anormaux."
"ID.AM","Gestion des actifs","Les données, le personnel, les appareils, les systèmes et les installations qui permettent à l'organisation d'atteindre les objectifs métier sont identifiés et gérés conformément à leur importance relative pour les objectifs organisationnels et la stratégie de risques de l'organisation."
"ID.BE","Environnement métier","La mission, les objectifs, les parties prenantes et les activités de l'organisation sont compris et priorisés; ces informations sont utilisées pour informer les rôles, les responsabilités et les décisions de gestion des risques en matière de cybersécurité."
"ID.GV","Gouvernance","Les politiques, procédures et processus pour gérer et surveiller les exigences réglementaires, juridiques, de risque, environnementales et opérationnelles de l'organisation sont comprises et informent la gestion du risque de cybersécurité."
"ID.RA","Appréciation des risques","L'organisation comprend le risque de cybersécurité pour les opérations organisationnelles (y compris la mission, les fonctions, l'image ou la réputation), les actifs organisationnels et les individus."
"ID.RM","Stratégie de gestion des risques","Les priorités, les contraintes, les tolérances au risque et les hypothèses de l'organisation sont établies et utilisées pour appuyer les décisions relatives au risque opérationnel."
"ID.SC","Gestion des risques de la chaîne d'approvisionnement","Les priorités, les contraintes, les tolérances au risque et les hypothèses sont établies et utilisées pour étayer les décisions relatives aux risques associées à la gestion des risques de la chaîne d’approvisionnement. L'organisation a établi et mis en œuvre les processus pour identifier, apprécier et gérer les risques liés à la chaîne d'approvisionnement."
"PR.AC","Gestion des identités et contrôle d'accès","L'accès aux actifs physiques et logiques et aux installations associées est limité aux utilisateurs, processus et appareils autorisés, et est géré conformément au risque apprécié d'accès non autorisé aux activités et transactions autorisées."
"PR.AT","Sensibilisation et formation","Le personnel et les partenaires de l'organisation reçoivent une formation sur la sensibilisation à la cybersécurité et sont formés pour s'acquitter de leurs tâches et responsabilités liées à la cybersécurité conformément aux politiques, procédures et accords connexes."
"PR.DS","Sécurité des données","Les informations et les enregistrements (données) sont gérés conformément à la stratégie de gestion des risques de l'organisation pour protéger la confidentialité, l'intégrité et la disponibilité des informations."
"PR.IP","Processus et procédures de protection des informations","Les politiques de sécurité (qui adressent de l'objectif, de la portée, des rôles, des responsabilités, de l'engagement de la direction et de la coordination entre les entités organisationnelles), des processus et des procédures sont maintenus et utilisés pour gérer la protection des systèmes d'information et des actifs."
"PR.MA","Maintenance","La maintenance et les réparations des composants de contrôle industriel et du système d'information sont effectuées conformément aux politiques et procédures."
"PR.PT","Technologie de protection","Les solutions de sécurité technique sont gérées pour assurer la sécurité et la résilience des systèmes et des actifs, conformément aux politiques, procédures et accords connexes."
"RC.CO","Communications","Les activités de restauration sont coordonnées avec les parties internes et externes (p. ex. les centres de coordination, les fournisseurs d'accès Internet, les propriétaires de systèmes d'attaque, les victimes, les autres CSIRT et les fournisseurs)."
"RC.IM","Améliorations","La planification et les processus de récupération sont améliorés en incorporant les leçons apprises dans les activités futures."
"RC.RP","Planification de la récupération","Les processus et procédures de récupération sont exécutés et maintenus pour garantir la restauration des systèmes ou des actifs affectés par des incidents de cybersécurité."
"RS.AN","Analyse","Une analyse est menée pour assurer une intervention efficace et soutenir les activités de récupération."
"RS.CO","Communications","Les activités d'intervention sont coordonnées avec les parties prenantes internes et externes (p. ex., le soutien externe des forces de l'ordre)."
"RS.IM","Améliorations","Les activités de réponse organisationnelle sont améliorées en incorporant les leçons tirées des activités de détection/réponse actuelles et précédentes."
"RS.MI","Atténuation","Les activités sont effectuées pour empêcher l'expansion d'un événement, atténuer ses effets et résoudre l'incident."
"RS.RP","Plan d’intervention","Les processus et procédures d'intervention sont exécutés et maintenus pour garantir la réponse aux incidents de cybersécurité détectés."
